Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss,,
1,80,51.23539741,48.15206408,3.179264647,1.285966225,69.50573707,72.75573707,2.6030367,0.74760092,1,0,0,0,,
2,23,49.11067057,47.94400391,2.983798732,0.333984996,70.57480865,72.24147532,2.738306269,1.482177965,0,0,0,0,,
3,21,51.58632096,47.91965429,2.626411728,0.256129025,69.54402694,72.54402694,2.886093067,1.253309277,0,0,0,0,,
4,80,50.50109142,48.50109142,2.925445095,1.807436996,69.7013321,72.4513321,2.738575461,1.757015574,1,1,0,1,,
5,80,50.17063483,47.8373015,2.840588661,0.535082179,69.08448076,72.50114743,2.967070507,1.953497137,0,0,0,1,,
6,80,51.09720761,48.18054095,2.480824855,1.17915604,70.45817515,72.70817515,2.679774254,0.917238351,1,0,0,0,,
7,80,51.23950018,48.32283352,2.988567387,1.749699196,69.63910117,72.97243451,2.903959604,0.469030176,1,1,0,0,,
8,80,50.89515194,48.39515194,3.331304074,1.642254667,69.9038319,72.48716524,3.256724711,0.894632841,1,0,0,0,,
9,80,49.03291701,47.78291701,3.004508456,0.401089912,68.10575958,72.18909291,2.070426196,2.067680097,0,0,0,1,,
10,80,49.84225336,48.17558669,2.997325029,1.274813298,69.32113701,72.23780367,2.334563685,1.925226991,1,0,0,1,,
11,80,50.22719916,48.22719916,2.904968132,1.532097364,68.8129257,72.47959237,2.928934566,2.085878934,1,0,0,1,,
12,6,48.65621415,47.82288082,2.579739597,1.281514975,70.41369497,72.16369497,3.480599654,1.400708182,0,0,0,0,,
13,9,49.47359508,47.97359508,3.012975513,0.684073782,69.00875806,72.0920914,2.736144544,1.240894366,0,0,0,0,,
14,80,51.00846637,48.0917997,2.225503011,1.208462533,68.76842223,72.35175556,2.260518835,1.851301469,1,0,0,1,,
15,80,50.13737702,48.30404369,2.771480997,1.462727666,70.95220982,72.45220982,2.171994312,1.466560834,1,0,0,0,,
16,6,49.10033356,47.76700022,2.852369531,0.976187858,69.42665358,72.00998691,3.171353805,0.951207596,0,0,0,0,,
17,80,50.78942993,48.53942993,3.300057644,1.806160693,69.63346598,73.13346598,3.123409359,0.415188243,1,1,1,0,,
18,5,48.59879147,47.93212481,2.890828218,0.944776823,70.47072842,72.30406175,2.458434777,1.047356535,0,0,0,0,,
19,80,50.739637,48.239637,3.08098298,1.529704347,69.986631,72.736631,3.300109361,0.418803852,1,0,0,0,,
20,80,50.52146411,48.10479745,2.600933413,1.416386812,70.63039798,72.38039798,2.894678117,1.846691415,1,0,0,1,,
21,8,49.51121347,47.92788013,3.083522953,0.574829578,71.02173149,72.35506483,2.348887402,0.670457853,0,0,0,0,,
22,22,50.57776352,47.91109685,2.654254414,0.540943306,68.9761352,72.2261352,3.044314957,1.392251071,0,0,0,0,,
23,23,49.08726169,47.92059502,2.494663312,0.45349128,70.92202904,72.42202904,2.716331426,1.368566217,0,0,0,0,,
24,21,50.13646962,47.88646962,2.821953214,1.225933167,69.22616516,72.05949849,2.31920663,1.379430566,0,0,0,0,,
25,80,48.55898534,48.05898534,2.25949673,0.365438254,69.38835749,72.47169083,3.09465488,2.086201305,1,0,0,1,,
26,80,50.35422651,48.52089318,2.393447132,1.854728194,71.75012483,73.25012483,1.680883478,0.442777388,1,1,1,0,,
27,7,50.20883228,47.95883228,2.597318657,0.352893041,70.74937079,72.58270413,3.156008622,1.29974576,0,0,0,0,,
28,80,50.1636426,48.49697593,3.595175396,1.989438978,70.09438798,72.67772132,2.401035908,1.237582765,1,1,0,0,,
29,8,50.50529263,47.9219593,3.232966658,0.758773223,70.64145883,72.5581255,2.785486417,0.68416639,0,0,0,0,,
30,22,48.98248203,47.8991487,2.816026942,0.523968937,70.22775891,72.47775891,3.009364905,1.384108449,0,0,0,0,,
31,13,50.52063618,47.93730284,2.756468217,0.695384218,70.22566471,72.72566471,2.58184456,0.506836595,0,0,0,0,,
32,9,49.87076504,47.95409838,3.07788276,0.703306505,71.00043619,72.58376952,2.814331235,1.048266646,0,0,0,0,,
33,80,50.29587508,48.29587508,3.330957834,1.636894062,68.79002625,72.79002625,2.508891585,0.302366759,1,0,0,0,,
34,20,50.42024046,47.83690712,2.584719417,0.457010385,67.90421025,72.32087692,1.566736567,1.479331428,0,0,0,0,,
35,80,50.22354351,48.47354351,2.894613014,1.9198265,70.6136356,73.03030227,1.667096992,0.49412908,1,1,1,0,,
