Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss
1,101,49.8346868013,48.0846868013,2.16478705506,1.69068978093,70.7887797898,72.4554464565,2.94416325961,1.2803804498,1,0,0,0
2,101,49.8901506851,47.8068173517,2.38927759181,0.251652051085,68.0573907867,71.64072412,2.71147781574,2.5833236528,0,0,1,1
3,101,52.0645595915,48.1478929248,2.91895452129,1.37633518974,70.374504467,71.874504467,2.8534851166,1.72937226598,1,0,1,1
4,101,51.1612147378,48.3278814045,2.94015277519,1.47283113967,70.6185336437,73.2852003104,3.03189920296,0.463942508382,1,0,1,0
5,101,48.7128999301,47.5462332635,2.72737159303,0.420508944463,69.1137590214,72.0304256881,2.58553419593,2.14104036711,0,0,0,1
6,101,49.7346493583,47.7346493583,3.25545114735,0.410317636325,68.580438152,72.080438152,2.66889130298,1.76544995601,0,0,0,1
7,101,50.6476786787,48.3143453454,3.18281743587,1.83030021351,70.1817631652,71.9317631652,2.43632918211,1.79660191185,1,1,1,1
8,101,49.4802423637,47.563575697,2.66631408461,0.268582318632,69.5773942366,72.2440609032,3.09439087242,2.08972746272,0,0,0,1
9,101,51.5585456098,48.1418789432,2.40396442506,1.78691853174,70.3110324566,72.7276991233,2.58857743859,0.391821911852,1,1,0,0
10,11,51.0331723399,47.9498390066,2.56534203694,0.591737376732,70.1170801953,72.783746862,3.62505201968,0.706553233327,0,0,0,0
11,101,50.2752060514,47.8585393847,3.25116148635,0.380309870289,69.1224479642,71.3724479642,2.07003615362,2.54290772416,0,0,1,1
12,101,49.880099437,47.7967661037,2.95369033706,1.02995270757,70.6669449207,72.250278254,2.23351018597,1.87463017509,0,0,0,1
13,101,50.448803423,48.1154700897,2.62528795663,1.63272192019,69.0297488991,71.6130822324,2.48349979467,2.16127348635,1,0,1,1
14,101,51.3067126255,48.2233792922,2.49133737069,1.59125250446,69.2094767549,72.4594767549,2.57168598142,1.08657103563,1,0,0,0
15,8,49.3514358633,47.9347691966,2.1656434988,0.631093412124,69.154564774,72.8212314406,2.77213971302,0.539800105324,0,0,0,0
16,101,48.8388372293,48.1721705627,1.66897194059,1.08688657697,69.2757326391,71.6923993058,2.78347006091,2.55048312195,1,0,1,1
17,101,49.2514114509,48.0847447842,2.30117411913,1.19114272493,70.2594748837,73.092808217,3.38401667792,0.764483791942,1,0,1,0
18,101,50.3551684385,48.1051684385,2.82581161473,1.2524842826,70.6115776192,72.5282442859,3.01340434657,1.33276277781,1,0,0,0
19,12,51.1113058468,47.9446391802,2.25115011757,1.16864321099,71.1978710763,72.7812044097,2.88004202849,1.10069036366,0,0,0,0
20,8,50.7566071858,47.9232738524,2.67652495237,0.684723618716,70.6051079446,72.1051079446,2.55653459363,1.46637766724,0,0,0,0
21,101,51.0057211283,48.0890544616,2.93340143604,0.998974466282,69.9306941354,72.4306941354,3.00984117257,1.56306155506,1,0,0,1
22,101,50.2017123934,47.36837906,3.12638505751,0.566858416439,68.6903104898,72.4403104898,1.59467285986,1.70095571365,0,0,0,1
23,101,51.1229530859,48.2062864192,2.60567483836,1.87328966619,69.9515173964,72.9515173964,3.06472616257,0.681241890773,1,1,0,0
24,101,49.5304064741,48.0304064741,2.45444930065,1.34624080755,69.6465049984,71.6465049984,3.07300172249,2.0651476552,1,0,1,1
25,6,49.8239711567,47.9906378234,2.99446518604,0.999072964019,70.6806182863,72.5139516196,2.76327030572,1.14216458577,0,0,0,0
26,101,49.4589557111,47.4589557111,3.02392814872,0.45000944885,69.9927401139,71.3260734472,2.72452588018,2.51047898904,0,0,1,1
27,8,50.9073305165,47.9906638498,2.50612171415,1.16374308001,70.1365931441,72.6365931441,2.74165994314,1.15047312607,0,0,0,0
28,101,49.4113254724,47.6613254724,2.25490959104,0.303248228529,69.8003571003,71.7170237669,2.21489121782,2.21742379421,0,0,1,1
29,101,51.2037203489,47.4537203489,2.6358404317,0.447666228956,70.4890650491,72.4890650491,3.43798850109,1.78336320664,0,0,0,1
30,6,49.5138296128,47.5971629461,2.67276793958,0.594104608363,71.8738129923,72.4571463256,2.48077278724,1.48836661133,0,0,0,0
31,4,49.4543751857,47.9543751857,2.84537130787,1.06774729032,71.1140253633,72.3640253633,2.89881456678,1.41968210176,0,0,0,0
32,101,50.8529510509,48.1862843843,2.69745460393,1.38079689112,70.7454722241,72.2454722241,2.7162489862,1.09725283635,1,0,0,0
33,101,49.9195535794,48.0862202461,2.7501084908,1.75741592976,69.3058729874,71.7225396541,2.22751184222,1.9762362711,1,1,1,1
34,8,48.5281071426,47.9447738093,2.9087438168,0.728564820958,69.9001594628,72.4001594628,2.7997721408,0.993948179126,0,0,0,0
35,101,49.8170645374,47.733731204,2.70391638433,0.472143495801,69.0386470415,71.4553137081,2.71457978236,2.43025483194,0,0,1,1
36,12,52.2172381006,47.9672381006,1.66797731878,0.721323156165,69.8409680844,72.507634751,3.16688686564,1.01371745428,0,0,0,0
37,101,51.2443186174,48.2443186174,2.86853309527,2.00610143023,69.5752168143,72.3252168143,3.08797381442,1.56652086622,1,1,0,1
