Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss
1,80,49.6148751496,47.948208483,2.3072343815,0.702010480449,69.1251355151,71.7084688485,2.73909296512,2.47771711114,0,0,1,1
2,80,49.4410027121,47.9410027121,3.07475390678,0.692007138116,68.0008109808,71.4174776475,2.42274238659,2.54742674844,0,0,1,1
3,80,50.7180000644,47.9680000644,2.84251580584,0.878864957622,69.5025151224,71.9191817891,2.96567122805,2.17490127584,0,0,1,1
4,20,48.938077013,47.5214103464,2.44546835171,0.458526159919,70.726113931,72.726113931,2.88196925458,1.334038466,0,0,0,0
5,11,51.5715167791,47.9881834458,2.77566808393,0.638972408449,69.0339146605,72.7005813272,3.21951308123,0.674053160222,0,0,0,0
6,8,51.1380564562,47.9713897895,3.33114681764,0.640419903065,70.141527953,72.5581946197,2.60661852895,0.710969385209,0,0,0,0
7,80,50.7084642918,47.9584642918,2.17547063535,0.371041051753,69.8030834201,71.8030834201,2.49446415817,2.03189129266,0,0,1,1
8,10,49.7727640501,47.9394307168,3.2995099506,0.849776676491,69.7991362735,72.6324696068,2.79928404726,1.49859668454,0,0,0,0
9,80,50.7517627831,47.5850961165,2.5358066456,0.803700692609,70.2714180293,72.688084696,2.8126744271,1.63991028033,0,0,0,1
10,22,50.2357541937,47.6524208604,2.98180366737,0.299815018013,70.8414726708,72.3414726708,2.75253445291,1.37962014448,0,0,0,0
11,7,50.2789555467,47.9456222134,2.54367606833,0.813072220058,70.6978570818,72.5311904152,2.54403629686,1.11189622467,0,0,0,0
12,10,50.2005094079,47.8671760745,2.74304357924,0.523451224587,69.2998654349,72.0498654349,2.62733191204,1.40147653599,0,0,0,0
13,80,51.4677620607,48.3844287274,3.60073162623,1.72166847729,69.0963356128,72.4296689462,2.46757829364,1.1448058015,1,1,0,0
14,80,49.7750011651,47.9416678317,2.39780925736,1.10191335066,70.2133459902,72.2966793235,2.89951297697,2.06469358262,0,0,0,1
15,80,50.5949211405,48.2615878071,2.69455739424,1.58393028984,71.9938346859,72.9938346859,2.45716484942,0.891259743624,1,0,0,0
16,80,47.9608133406,47.9608133406,1.9821494018,0.737855173331,68.8560739248,71.6060739248,2.0764785113,2.4953488598,0,0,1,1
17,80,49.9356661983,47.9356661983,2.67131600155,0.914605945602,70.6854478915,71.9354478915,2.83505695354,1.88656828509,0,0,1,1
18,80,50.3938780111,48.3105446778,3.11342234034,2.02731442472,68.8364211837,72.5864211837,2.49822679565,1.70394465936,1,1,0,1
19,20,50.6060091638,47.7726758305,2.80029071298,1.13488949161,69.8794291262,72.4627624596,2.82194103244,1.45495237243,0,0,0,0
20,80,50.2278216577,48.1444883244,3.61240243898,1.40330883629,69.8678868789,72.5345535455,2.49989850039,0.990970784101,1,0,0,0
21,9,49.798365784,47.9650324507,1.92305925123,0.439092970732,68.0781165649,72.7447832316,2.52484458145,0.747945995801,0,0,0,0
22,80,51.2325440686,48.315877402,2.09414252687,1.65136316097,71.6559857605,73.1559857605,2.59021077841,0.498321613833,1,0,1,0
23,7,51.7168960194,47.9668960194,2.14510190447,0.762992103247,71.1647308309,72.6647308309,1.9526116601,1.0986658309,0,0,0,0
