Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss
1,9,50.5699053489,47.9865720155,3.24327507235,0.978834175641,70.671328153,72.2546614863,2.57275683628,1.49525648949,0,0,0,0
2,7,49.761326817,47.9279934837,2.22586546257,0.646733123662,70.5906996092,72.9240329425,3.11707737913,1.01922337638,0,0,0,0
3,20,49.8245221207,47.7411887873,2.29689947657,0.276975751233,70.2230070121,72.5563403454,2.55653396306,1.43007801146,0,0,0,0
4,22,49.6462922727,47.8129589394,2.92040077472,0.602936123838,70.5843476256,72.5010142923,2.70752253917,1.26896938253,0,0,0,0
5,11,49.0713863742,47.7380530409,2.50800223793,0.411219637279,69.0872319074,72.003898574,2.34455797408,1.30578942322,0,0,0,0
6,80,49.5975878086,48.1809211419,2.33515947643,1.72131747953,71.1665074722,72.9998408055,2.54311035005,0.656522234397,1,1,0,0
7,80,49.4136007684,48.1636007684,2.740526321,1.467562123,70.955503021,72.205503021,1.99602720047,1.33068786074,1,0,0,0
8,13,49.3265307065,47.9931973732,3.12406156052,0.893357133129,70.6693363258,72.7526696591,3.16412836337,0.834198529372,0,0,0,0
9,80,49.595815864,47.9291491973,3.51667037721,0.949119246733,72.0239280806,73.107261414,2.46462384952,0.936568703378,0,0,1,0
10,80,50.3242225991,48.3242225991,2.75933039421,1.8066098969,69.0961004293,72.262767096,2.94114120243,2.11755298203,1,1,0,1
11,80,49.3138465797,48.147179913,3.61350447987,1.89946250068,70.483994991,72.1506616577,3.00288537269,1.44998895158,1,1,0,0
12,20,50.2206777127,47.804011046,2.74406458352,0.623972773874,69.7446462821,72.6613129487,3.01334462272,1.33853335272,0,0,0,0
13,80,50.5470667555,47.9637334221,1.98176360333,1.27514659443,69.7255641961,72.5588975294,2.95274440336,1.59883730925,0,0,0,1
14,21,50.1516186628,47.4849519962,1.89072572155,0.388829918438,68.2922953818,72.4589620485,2.40717668295,1.32836151482,0,0,0,0
15,22,48.6924394986,47.6091061653,2.13263928597,0.349103092466,70.0019449626,72.5019449626,2.81601977239,1.37325551057,0,0,0,0
16,80,49.6510570572,47.9843903906,2.23105902356,0.359294735044,68.8116467091,71.3949800424,2.56803470504,2.42354598987,0,0,1,1
17,80,48.4665424565,48.0498757899,2.59739709546,1.26897475442,69.4533115922,71.2866449256,2.29986316843,2.13257298677,1,0,1,1
18,80,49.9865596015,48.0698929349,2.59324381223,0.915166890227,71.988881795,72.4055484616,2.76598984312,1.8770193071,1,0,0,1
19,9,51.2795238038,47.9461904705,2.48086319863,0.749035945952,70.1962105212,72.7795438545,2.68262322969,0.665475776815,0,0,0,0
20,20,51.3044371271,47.9711037938,2.6248526608,1.03029620618,71.1163614432,72.4496947765,2.73214049168,1.47230798833,0,0,0,0
21,13,50.0507310221,47.9673976888,2.77238444034,0.585438282439,70.6731202083,72.9231202083,2.88573703852,0.523205504839,0,0,0,0
22,8,48.7909242002,47.9575908669,3.06724069451,0.755025334579,70.9568588143,72.4568588143,2.73754694412,1.33082668775,0,0,0,0
23,80,51.0671456285,48.0671456285,3.2630798899,1.1074604883,69.3456580415,72.1789913748,3.61943708534,1.94703209169,1,0,0,1
24,80,49.8516387191,47.7683053858,3.25915901981,0.982562189485,70.0837596352,72.4170929686,3.17509738158,1.75123407149,0,0,0,1
25,20,49.0908479326,47.7575145993,2.35037551632,0.280505727913,69.782625371,72.282625371,3.00838449414,1.43888834629,0,0,0,0
26,5,49.7454382386,47.9954382386,2.28807446366,0.918885463803,71.9310286963,72.5143620297,2.24861752655,1.14704438154,0,0,0,0
27,80,50.3704290537,47.953762387,2.94795006894,0.748199718279,70.0464590204,71.713125687,2.46102274532,2.16743378062,0,0,1,1
28,80,49.8075094551,47.8908427885,3.02218529484,0.496821059797,70.2338631803,71.9838631803,2.82242914539,1.9194083525,0,0,1,1
29,8,50.4587667514,47.9587667514,1.50546791634,0.632330896342,69.6820091078,72.4320091078,2.71625241085,0.826959025913,0,0,0,0
30,80,49.8852830573,47.8019497239,2.61155431426,0.773285594772,68.9385256565,71.5218589899,2.87426437641,2.77363857825,0,0,1,1
31,80,51.6173893521,48.0340560188,2.43209558332,1.40060019606,71.8352232887,72.918556622,2.14021873597,0.533302712917,1,0,0,0
32,9,51.6772744909,47.9272744909,2.65266637812,0.583958023146,70.2646841622,72.6813508288,2.62796904422,1.13411703391,0,0,0,0
33,80,49.4659926016,47.7993259349,2.626792664,0.422983045062,68.7568348336,71.4235015002,2.31847804003,2.30655093003,0,0,1,1
34,80,50.1545697721,47.9879031055,2.66574025272,0.904524311653,69.8014385024,71.9681051691,2.53243939768,2.14546468954,0,0,1,1
35,80,49.2413924882,48.0747258215,2.556765988,1.08271484572,69.5796937375,71.2463604042,2.68501763825,2.51885210691,1,0,1,1
36,80,49.9722616915,48.1389283582,2.68441396063,1.13019495378,69.0246521544,72.691318821,2.79260567973,1.41030055342,1,0,0,0
37,80,49.5530279104,48.3030279104,3.15875674966,1.93778665313,70.2425456309,71.7425456309,2.71367166455,2.18598014383,1,1,1,1
38,80,51.1379910979,48.1379910979,1.76515658771,1.15868922627,71.4539818507,72.6206485173,2.1330586455,0.884541045647,1,0,0,0
39,80,49.1570475312,47.9070475312,2.64732881574,0.441241351933,69.8142923418,71.7309590084,2.68391690524,2.42708341279,0,0,1,1
40,80,50.7658327323,47.932499399,2.8067237777,0.712465490061,66.8012068577,71.6345401911,2.17554615472,2.78358323952,0,0,1,1
41,3,48.7291065862,47.9791065862,2.2430695419,0.987729921403,71.8572504451,72.7739171118,2.3823778409,1.23870016298,0,0,0,0
42,7,50.2543038939,47.9209705606,2.19925082631,0.60949001441,71.4039668572,72.6539668572,2.7576936345,0.583346424707,0,0,0,0
43,10,49.3184242064,47.9850908731,2.76259594735,0.676623296043,68.9433502621,72.0266835954,2.71334706177,1.04862123561,0,0,0,0
44,7,51.0386651011,47.9553317678,2.60988304868,0.82173754949,70.8750360657,72.5417027323,2.95708280117,1.00662915578,0,0,0,0
45,80,49.928402602,48.0950692687,2.14422234438,1.20555340397,70.1181184432,72.9514517765,3.65919452527,0.932600642895,1,0,0,0
46,80,49.8747297689,48.1247297689,2.46709065693,1.52697142443,68.6084764593,72.275143126,2.26125340043,1.00203326124,1,0,0,0
47,21,51.1236068687,47.8736068687,2.57709727057,0.468302895324,70.3370362331,72.5870362331,2.61633430837,1.2864686867,0,0,0,0
48,80,49.7228024579,48.2228024579,3.18038850851,1.63885438657,70.6653104041,72.4986437374,2.30725568677,0.778602840069,1,0,0,0
49,7,50.1357370712,47.9690704046,2.91744063613,0.663906527776,71.4857319812,72.7357319812,2.53095337153,0.873138986861,0,0,0,0
50,20,50.61674436,47.61674436,2.25145852574,0.257769096057,71.099082197,72.5157488637,2.91444958846,1.49036623848,0,0,0,0
51,6,50.3141044883,47.980771155,3.00012080085,1.56017530888,70.6631016679,72.2464350012,2.95636414281,1.33543806445,0,0,0,0
52,8,50.6662363069,47.9995696402,3.19595067585,0.971941185529,71.1720166371,72.4220166371,2.87535324331,1.30858797331,0,0,0,0
53,80,49.0989520869,47.7656187536,2.8673330826,0.829252162256,70.0625398195,71.8125398195,3.18398174063,2.04660873949,0,0,1,1
54,80,50.0600961669,47.9767628336,3.32052660017,0.437671311707,69.4175135319,71.5841801986,2.15601167332,1.90081467858,0,0,1,1
55,80,48.7854783621,48.0354783621,3.14654206776,1.02114646179,69.7389826247,71.6556492914,3.09190595802,2.46008101099,1,0,1,1
56,80,50.2901139918,48.0401139918,2.70466468204,1.18621368548,70.8973424542,72.6473424542,2.7303038833,1.25943499724,1,0,0,0
57,80,51.7210490926,47.9710490926,2.40602675818,0.533748398903,70.3040452278,71.8040452278,3.33470383143,2.61083800866,0,0,1,1
58,80,49.9956870201,47.9956870201,2.87690331527,0.326051370411,70.5954016586,71.4287349919,3.41541370798,2.62006221417,0,0,1,1
59,80,49.0087527336,48.0087527336,2.91049693793,1.90457907657,71.3059396186,72.139272952,1.62875311147,1.07171560832,1,1,0,0
60,8,49.8499115762,47.9332449096,3.55900490135,0.499422212345,70.3897532324,72.6397532324,2.86731575575,0.838484964649,0,0,0,0
61,9,48.1741281249,47.8407947916,3.10562422723,0.899520764557,71.3331265584,72.8331265584,3.64013388698,1.489878885,0,0,0,0
